
# metamind flat taxonomy

++ http://vital.ai/vital/metamind-app/393 "magpie"

++ http://vital.ai/vital/metamind-app/394 "chickadee"

++ http://vital.ai/vital/metamind-app/395 "water ouzel, dipper"

++ http://vital.ai/vital/metamind-app/396 "kite"

++ http://vital.ai/vital/metamind-app/397 "bald eagle, American eagle, Haliaeetus leucocephalus"

++ http://vital.ai/vital/metamind-app/398 "vulture"

++ http://vital.ai/vital/metamind-app/399 "great grey owl, great gray owl, Strix nebulosa"

++ http://vital.ai/vital/metamind-app/400 "black grouse"

++ http://vital.ai/vital/metamind-app/401 "ptarmigan"

++ http://vital.ai/vital/metamind-app/402 "ruffed grouse, partridge, Bonasa umbellus"

++ http://vital.ai/vital/metamind-app/403 "prairie chicken, prairie grouse, prairie fowl"

++ http://vital.ai/vital/metamind-app/404 "peacock"

++ http://vital.ai/vital/metamind-app/405 "quail"

++ http://vital.ai/vital/metamind-app/406 "partridge"

++ http://vital.ai/vital/metamind-app/407 "African grey, African gray, Psittacus erithacus"

++ http://vital.ai/vital/metamind-app/408 "macaw"

++ http://vital.ai/vital/metamind-app/409 "sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"

++ http://vital.ai/vital/metamind-app/410 "lorikeet"

++ http://vital.ai/vital/metamind-app/411 "coucal"

++ http://vital.ai/vital/metamind-app/412 "bee eater"

++ http://vital.ai/vital/metamind-app/413 "hornbill"

++ http://vital.ai/vital/metamind-app/414 "hummingbird"

++ http://vital.ai/vital/metamind-app/415 "jacamar"

++ http://vital.ai/vital/metamind-app/416 "toucan"

++ http://vital.ai/vital/metamind-app/417 "drake"

++ http://vital.ai/vital/metamind-app/418 "red-breasted merganser, Mergus serrator"

++ http://vital.ai/vital/metamind-app/419 "goose"

++ http://vital.ai/vital/metamind-app/420 "black swan, Cygnus atratus"

++ http://vital.ai/vital/metamind-app/421 "white stork, Ciconia ciconia"

++ http://vital.ai/vital/metamind-app/422 "black stork, Ciconia nigra"

++ http://vital.ai/vital/metamind-app/423 "spoonbill"

++ http://vital.ai/vital/metamind-app/424 "flamingo"

++ http://vital.ai/vital/metamind-app/425 "American egret, great white heron, Egretta albus"

++ http://vital.ai/vital/metamind-app/426 "little blue heron, Egretta caerulea"

++ http://vital.ai/vital/metamind-app/427 "bittern"

++ http://vital.ai/vital/metamind-app/428 "crane"

++ http://vital.ai/vital/metamind-app/429 "limpkin, Aramus pictus"

++ http://vital.ai/vital/metamind-app/430 "American coot, marsh hen, mud hen, water hen, Fulica americana"

++ http://vital.ai/vital/metamind-app/431 "bustard"

++ http://vital.ai/vital/metamind-app/432 "ruddy turnstone, Arenaria interpres"

++ http://vital.ai/vital/metamind-app/433 "red-backed sandpiper, dunlin, Erolia alpina"

++ http://vital.ai/vital/metamind-app/434 "redshank, Tringa totanus"

++ http://vital.ai/vital/metamind-app/435 "dowitcher"

++ http://vital.ai/vital/metamind-app/436 "oystercatcher, oyster catcher"

++ http://vital.ai/vital/metamind-app/437 "European gallinule, Porphyrio porphyrio"

++ http://vital.ai/vital/metamind-app/438 "pelican"

++ http://vital.ai/vital/metamind-app/439 "king penguin, Aptenodytes patagonica"

++ http://vital.ai/vital/metamind-app/440 "albatross, mollymawk"

++ http://vital.ai/vital/metamind-app/441 "great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"

++ http://vital.ai/vital/metamind-app/442 "tiger shark, Galeocerdo cuvieri"

++ http://vital.ai/vital/metamind-app/443 "hammerhead, hammerhead shark"

++ http://vital.ai/vital/metamind-app/444 "electric ray, crampfish, numbfish, torpedo"

++ http://vital.ai/vital/metamind-app/445 "stingray"

++ http://vital.ai/vital/metamind-app/446 "barracouta, snoek"

++ http://vital.ai/vital/metamind-app/447 "coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"

++ http://vital.ai/vital/metamind-app/448 "tench, Tinca tinca"

++ http://vital.ai/vital/metamind-app/449 "goldfish, Carassius auratus"

++ http://vital.ai/vital/metamind-app/450 "eel"

++ http://vital.ai/vital/metamind-app/451 "rock beauty, Holocanthus tricolor"

++ http://vital.ai/vital/metamind-app/452 "anemone fish"

++ http://vital.ai/vital/metamind-app/453 "lionfish"

++ http://vital.ai/vital/metamind-app/454 "puffer, pufferfish, blowfish, globefish"

++ http://vital.ai/vital/metamind-app/455 "sturgeon"

++ http://vital.ai/vital/metamind-app/456 "gar, garfish, garpike, billfish, Lepisosteus osseus"

++ http://vital.ai/vital/metamind-app/457 "loggerhead, loggerhead turtle, Caretta caretta"

++ http://vital.ai/vital/metamind-app/458 "leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"

++ http://vital.ai/vital/metamind-app/459 "mud turtle"

++ http://vital.ai/vital/metamind-app/460 "terrapin"

++ http://vital.ai/vital/metamind-app/461 "box turtle, box tortoise"

++ http://vital.ai/vital/metamind-app/462 "banded gecko"

++ http://vital.ai/vital/metamind-app/463 "common iguana, iguana, Iguana iguana"

++ http://vital.ai/vital/metamind-app/464 "American chameleon, anole, Anolis carolinensis"

++ http://vital.ai/vital/metamind-app/465 "whiptail, whiptail lizard"

++ http://vital.ai/vital/metamind-app/466 "agama"

++ http://vital.ai/vital/metamind-app/467 "frilled lizard, Chlamydosaurus kingi"

++ http://vital.ai/vital/metamind-app/468 "alligator lizard"

++ http://vital.ai/vital/metamind-app/469 "Gila monster, Heloderma suspectum"

++ http://vital.ai/vital/metamind-app/470 "green lizard, Lacerta viridis"

++ http://vital.ai/vital/metamind-app/471 "African chameleon, Chamaeleo chamaeleon"

++ http://vital.ai/vital/metamind-app/472 "Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"

++ http://vital.ai/vital/metamind-app/473 "triceratops"

++ http://vital.ai/vital/metamind-app/474 "African crocodile, Nile crocodile, Crocodylus niloticus"

++ http://vital.ai/vital/metamind-app/475 "American alligator, Alligator mississipiensis"

++ http://vital.ai/vital/metamind-app/476 "thunder snake, worm snake, Carphophis amoenus"

++ http://vital.ai/vital/metamind-app/477 "ringneck snake, ring-necked snake, ring snake"

++ http://vital.ai/vital/metamind-app/478 "hognose snake, puff adder, sand viper"

++ http://vital.ai/vital/metamind-app/479 "green snake, grass snake"

++ http://vital.ai/vital/metamind-app/480 "king snake, kingsnake"

++ http://vital.ai/vital/metamind-app/481 "garter snake, grass snake"

++ http://vital.ai/vital/metamind-app/482 "water snake"

++ http://vital.ai/vital/metamind-app/483 "vine snake"

++ http://vital.ai/vital/metamind-app/484 "night snake, Hypsiglena torquata"

++ http://vital.ai/vital/metamind-app/485 "boa constrictor, Constrictor constrictor"

++ http://vital.ai/vital/metamind-app/486 "rock python, rock snake, Python sebae"

++ http://vital.ai/vital/metamind-app/487 "Indian cobra, Naja naja"

++ http://vital.ai/vital/metamind-app/488 "green mamba"

++ http://vital.ai/vital/metamind-app/489 "sea snake"

++ http://vital.ai/vital/metamind-app/490 "horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"

++ http://vital.ai/vital/metamind-app/491 "diamondback, diamondback rattlesnake, Crotalus adamanteus"

++ http://vital.ai/vital/metamind-app/492 "sidewinder, horned rattlesnake, Crotalus cerastes"

++ http://vital.ai/vital/metamind-app/493 "European fire salamander, Salamandra salamandra"

++ http://vital.ai/vital/metamind-app/494 "common newt, Triturus vulgaris"

++ http://vital.ai/vital/metamind-app/495 "eft"

++ http://vital.ai/vital/metamind-app/496 "spotted salamander, Ambystoma maculatum"

++ http://vital.ai/vital/metamind-app/497 "axolotl, mud puppy, Ambystoma mexicanum"

++ http://vital.ai/vital/metamind-app/498 "bullfrog, Rana catesbeiana"

++ http://vital.ai/vital/metamind-app/499 "tree frog, tree-frog"

++ http://vital.ai/vital/metamind-app/500 "tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"

++ http://vital.ai/vital/metamind-app/501 "whistle"

++ http://vital.ai/vital/metamind-app/502 "wing"

++ http://vital.ai/vital/metamind-app/503 "paintbrush"

++ http://vital.ai/vital/metamind-app/504 "hand blower, blow dryer, blow drier, hair dryer, hair drier"

++ http://vital.ai/vital/metamind-app/505 "oxygen mask"

++ http://vital.ai/vital/metamind-app/506 "snorkel"

++ http://vital.ai/vital/metamind-app/507 "loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"

++ http://vital.ai/vital/metamind-app/508 "microphone, mike"

++ http://vital.ai/vital/metamind-app/509 "screen, CRT screen"

++ http://vital.ai/vital/metamind-app/510 "mouse, computer mouse"

++ http://vital.ai/vital/metamind-app/511 "electric fan, blower"

++ http://vital.ai/vital/metamind-app/512 "oil filter"

++ http://vital.ai/vital/metamind-app/513 "strainer"

++ http://vital.ai/vital/metamind-app/514 "space heater"

++ http://vital.ai/vital/metamind-app/515 "stove"

++ http://vital.ai/vital/metamind-app/516 "guillotine"

++ http://vital.ai/vital/metamind-app/517 "barometer"

++ http://vital.ai/vital/metamind-app/518 "rule, ruler"

++ http://vital.ai/vital/metamind-app/519 "odometer, hodometer, mileometer, milometer"

++ http://vital.ai/vital/metamind-app/520 "scale, weighing machine"

++ http://vital.ai/vital/metamind-app/521 "analog clock"

++ http://vital.ai/vital/metamind-app/522 "digital clock"

++ http://vital.ai/vital/metamind-app/523 "wall clock"

++ http://vital.ai/vital/metamind-app/524 "hourglass"

++ http://vital.ai/vital/metamind-app/525 "sundial"

++ http://vital.ai/vital/metamind-app/526 "parking meter"

++ http://vital.ai/vital/metamind-app/527 "stopwatch, stop watch"

++ http://vital.ai/vital/metamind-app/528 "digital watch"

++ http://vital.ai/vital/metamind-app/529 "stethoscope"

++ http://vital.ai/vital/metamind-app/530 "syringe"

++ http://vital.ai/vital/metamind-app/531 "magnetic compass"

++ http://vital.ai/vital/metamind-app/532 "binoculars, field glasses, opera glasses"

++ http://vital.ai/vital/metamind-app/533 "projector"

++ http://vital.ai/vital/metamind-app/534 "sunglasses, dark glasses, shades"

++ http://vital.ai/vital/metamind-app/535 "loupe, jeweler's loupe"

++ http://vital.ai/vital/metamind-app/536 "radio telescope, radio reflector"

++ http://vital.ai/vital/metamind-app/537 "bow"

++ http://vital.ai/vital/metamind-app/538 "cannon"

++ http://vital.ai/vital/metamind-app/539 "assault rifle, assault gun"

++ http://vital.ai/vital/metamind-app/540 "rifle"

++ http://vital.ai/vital/metamind-app/541 "projectile, missile"

++ http://vital.ai/vital/metamind-app/542 "computer keyboard, keypad"

++ http://vital.ai/vital/metamind-app/543 "typewriter keyboard"

++ http://vital.ai/vital/metamind-app/544 "crane"

++ http://vital.ai/vital/metamind-app/545 "lighter, light, igniter, ignitor"

++ http://vital.ai/vital/metamind-app/546 "abacus"

++ http://vital.ai/vital/metamind-app/547 "cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"

++ http://vital.ai/vital/metamind-app/548 "slide rule, slipstick"

++ http://vital.ai/vital/metamind-app/549 "desktop computer"

++ http://vital.ai/vital/metamind-app/550 "hand-held computer, hand-held microcomputer"

++ http://vital.ai/vital/metamind-app/551 "notebook, notebook computer"

++ http://vital.ai/vital/metamind-app/552 "web site, website, internet site, site"

++ http://vital.ai/vital/metamind-app/553 "harvester, reaper"

++ http://vital.ai/vital/metamind-app/554 "thresher, thrasher, threshing machine"

++ http://vital.ai/vital/metamind-app/555 "printer"

++ http://vital.ai/vital/metamind-app/556 "slot, one-armed bandit"

++ http://vital.ai/vital/metamind-app/557 "vending machine"

++ http://vital.ai/vital/metamind-app/558 "sewing machine"

++ http://vital.ai/vital/metamind-app/559 "joystick"

++ http://vital.ai/vital/metamind-app/560 "switch, electric switch, electrical switch"

++ http://vital.ai/vital/metamind-app/561 "hook, claw"

++ http://vital.ai/vital/metamind-app/562 "car wheel"

++ http://vital.ai/vital/metamind-app/563 "paddlewheel, paddle wheel"

++ http://vital.ai/vital/metamind-app/564 "pinwheel"

++ http://vital.ai/vital/metamind-app/565 "potter's wheel"

++ http://vital.ai/vital/metamind-app/566 "gas pump, gasoline pump, petrol pump, island dispenser"

++ http://vital.ai/vital/metamind-app/567 "carousel, carrousel, merry-go-round, roundabout, whirligig"

++ http://vital.ai/vital/metamind-app/568 "swing"

++ http://vital.ai/vital/metamind-app/569 "reel"

++ http://vital.ai/vital/metamind-app/570 "radiator"

++ http://vital.ai/vital/metamind-app/571 "puck, hockey puck"

++ http://vital.ai/vital/metamind-app/572 "hard disc, hard disk, fixed disk"

++ http://vital.ai/vital/metamind-app/573 "sunglass"

++ http://vital.ai/vital/metamind-app/574 "pick, plectrum, plectron"

++ http://vital.ai/vital/metamind-app/575 "car mirror"

++ http://vital.ai/vital/metamind-app/576 "solar dish, solar collector, solar furnace"

++ http://vital.ai/vital/metamind-app/577 "remote control, remote"

++ http://vital.ai/vital/metamind-app/578 "disk brake, disc brake"

++ http://vital.ai/vital/metamind-app/579 "buckle"

++ http://vital.ai/vital/metamind-app/580 "hair slide"

++ http://vital.ai/vital/metamind-app/581 "knot"

++ http://vital.ai/vital/metamind-app/582 "combination lock"

++ http://vital.ai/vital/metamind-app/583 "padlock"

++ http://vital.ai/vital/metamind-app/584 "nail"

++ http://vital.ai/vital/metamind-app/585 "safety pin"

++ http://vital.ai/vital/metamind-app/586 "screw"

++ http://vital.ai/vital/metamind-app/587 "muzzle"

++ http://vital.ai/vital/metamind-app/588 "seat belt, seatbelt"

++ http://vital.ai/vital/metamind-app/589 "ski"

++ http://vital.ai/vital/metamind-app/590 "candle, taper, wax light"

++ http://vital.ai/vital/metamind-app/591 "jack-o'-lantern"

++ http://vital.ai/vital/metamind-app/592 "spotlight, spot"

++ http://vital.ai/vital/metamind-app/593 "torch"

++ http://vital.ai/vital/metamind-app/594 "neck brace"

++ http://vital.ai/vital/metamind-app/595 "pier"

++ http://vital.ai/vital/metamind-app/596 "tripod"

++ http://vital.ai/vital/metamind-app/597 "maypole"

++ http://vital.ai/vital/metamind-app/598 "mousetrap"

++ http://vital.ai/vital/metamind-app/599 "spider web, spider's web"

++ http://vital.ai/vital/metamind-app/600 "trilobite"

++ http://vital.ai/vital/metamind-app/601 "harvestman, daddy longlegs, Phalangium opilio"

++ http://vital.ai/vital/metamind-app/602 "scorpion"

++ http://vital.ai/vital/metamind-app/603 "black and gold garden spider, Argiope aurantia"

++ http://vital.ai/vital/metamind-app/604 "barn spider, Araneus cavaticus"

++ http://vital.ai/vital/metamind-app/605 "garden spider, Aranea diademata"

++ http://vital.ai/vital/metamind-app/606 "black widow, Latrodectus mactans"

++ http://vital.ai/vital/metamind-app/607 "tarantula"

++ http://vital.ai/vital/metamind-app/608 "wolf spider, hunting spider"

++ http://vital.ai/vital/metamind-app/609 "tick"

++ http://vital.ai/vital/metamind-app/610 "centipede"

++ http://vital.ai/vital/metamind-app/611 "isopod"

++ http://vital.ai/vital/metamind-app/612 "Dungeness crab, Cancer magister"

++ http://vital.ai/vital/metamind-app/613 "rock crab, Cancer irroratus"

++ http://vital.ai/vital/metamind-app/614 "fiddler crab"

++ http://vital.ai/vital/metamind-app/615 "king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"

++ http://vital.ai/vital/metamind-app/616 "American lobster, Northern lobster, Maine lobster, Homarus americanus"

++ http://vital.ai/vital/metamind-app/617 "spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"

++ http://vital.ai/vital/metamind-app/618 "crayfish, crawfish, crawdad, crawdaddy"

++ http://vital.ai/vital/metamind-app/619 "hermit crab"

++ http://vital.ai/vital/metamind-app/620 "tiger beetle"

++ http://vital.ai/vital/metamind-app/621 "ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"

++ http://vital.ai/vital/metamind-app/622 "ground beetle, carabid beetle"

++ http://vital.ai/vital/metamind-app/623 "long-horned beetle, longicorn, longicorn beetle"

++ http://vital.ai/vital/metamind-app/624 "leaf beetle, chrysomelid"

++ http://vital.ai/vital/metamind-app/625 "dung beetle"

++ http://vital.ai/vital/metamind-app/626 "rhinoceros beetle"

++ http://vital.ai/vital/metamind-app/627 "weevil"

++ http://vital.ai/vital/metamind-app/628 "fly"

++ http://vital.ai/vital/metamind-app/629 "bee"

++ http://vital.ai/vital/metamind-app/630 "grasshopper, hopper"

++ http://vital.ai/vital/metamind-app/631 "cricket"

++ http://vital.ai/vital/metamind-app/632 "walking stick, walkingstick, stick insect"

++ http://vital.ai/vital/metamind-app/633 "cockroach, roach"

++ http://vital.ai/vital/metamind-app/634 "mantis, mantid"

++ http://vital.ai/vital/metamind-app/635 "cicada, cicala"

++ http://vital.ai/vital/metamind-app/636 "leafhopper"

++ http://vital.ai/vital/metamind-app/637 "lacewing, lacewing fly"

++ http://vital.ai/vital/metamind-app/638 "dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"

++ http://vital.ai/vital/metamind-app/639 "damselfly"

++ http://vital.ai/vital/metamind-app/640 "admiral"

++ http://vital.ai/vital/metamind-app/641 "ringlet, ringlet butterfly"

++ http://vital.ai/vital/metamind-app/642 "monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"

++ http://vital.ai/vital/metamind-app/643 "cabbage butterfly"

++ http://vital.ai/vital/metamind-app/644 "sulphur butterfly, sulfur butterfly"

++ http://vital.ai/vital/metamind-app/645 "lycaenid, lycaenid butterfly"

++ http://vital.ai/vital/metamind-app/646 "jellyfish"

++ http://vital.ai/vital/metamind-app/647 "sea anemone, anemone"

++ http://vital.ai/vital/metamind-app/648 "brain coral"

++ http://vital.ai/vital/metamind-app/649 "flatworm, platyhelminth"

++ http://vital.ai/vital/metamind-app/650 "nematode, nematode worm, roundworm"

++ http://vital.ai/vital/metamind-app/651 "conch"

++ http://vital.ai/vital/metamind-app/652 "snail"

++ http://vital.ai/vital/metamind-app/653 "slug"

++ http://vital.ai/vital/metamind-app/654 "sea slug, nudibranch"

++ http://vital.ai/vital/metamind-app/655 "chiton, coat-of-mail shell, sea cradle, polyplacophore"

++ http://vital.ai/vital/metamind-app/656 "sea urchin"

++ http://vital.ai/vital/metamind-app/657 "sea cucumber, holothurian"

++ http://vital.ai/vital/metamind-app/658 "iron, smoothing iron"

++ http://vital.ai/vital/metamind-app/659 "espresso maker"

++ http://vital.ai/vital/metamind-app/660 "microwave, microwave oven"

++ http://vital.ai/vital/metamind-app/661 "Dutch oven"

++ http://vital.ai/vital/metamind-app/662 "rotisserie"

++ http://vital.ai/vital/metamind-app/663 "toaster"

++ http://vital.ai/vital/metamind-app/664 "waffle iron"

++ http://vital.ai/vital/metamind-app/665 "vacuum, vacuum cleaner"

++ http://vital.ai/vital/metamind-app/666 "dishwasher, dish washer, dishwashing machine"

++ http://vital.ai/vital/metamind-app/667 "refrigerator, icebox"

++ http://vital.ai/vital/metamind-app/668 "washer, automatic washer, washing machine"

++ http://vital.ai/vital/metamind-app/669 "Crock Pot"

++ http://vital.ai/vital/metamind-app/670 "frying pan, frypan, skillet"

++ http://vital.ai/vital/metamind-app/671 "wok"

++ http://vital.ai/vital/metamind-app/672 "caldron, cauldron"

++ http://vital.ai/vital/metamind-app/673 "coffeepot"

++ http://vital.ai/vital/metamind-app/674 "teapot"

++ http://vital.ai/vital/metamind-app/675 "spatula"

++ http://vital.ai/vital/metamind-app/676 "altar"

++ http://vital.ai/vital/metamind-app/677 "triumphal arch"

++ http://vital.ai/vital/metamind-app/678 "patio, terrace"

++ http://vital.ai/vital/metamind-app/679 "steel arch bridge"

++ http://vital.ai/vital/metamind-app/680 "suspension bridge"

++ http://vital.ai/vital/metamind-app/681 "viaduct"

++ http://vital.ai/vital/metamind-app/682 "barn"

++ http://vital.ai/vital/metamind-app/683 "greenhouse, nursery, glasshouse"

++ http://vital.ai/vital/metamind-app/684 "palace"

++ http://vital.ai/vital/metamind-app/685 "monastery"

++ http://vital.ai/vital/metamind-app/686 "library"

++ http://vital.ai/vital/metamind-app/687 "apiary, bee house"

++ http://vital.ai/vital/metamind-app/688 "boathouse"

++ http://vital.ai/vital/metamind-app/689 "church, church building"

++ http://vital.ai/vital/metamind-app/690 "mosque"

++ http://vital.ai/vital/metamind-app/691 "stupa, tope"

++ http://vital.ai/vital/metamind-app/692 "planetarium"

++ http://vital.ai/vital/metamind-app/693 "restaurant, eating house, eating place, eatery"

++ http://vital.ai/vital/metamind-app/694 "cinema, movie theater, movie theatre, movie house, picture palace"

++ http://vital.ai/vital/metamind-app/695 "home theater, home theatre"

++ http://vital.ai/vital/metamind-app/696 "lumbermill, sawmill"

++ http://vital.ai/vital/metamind-app/697 "coil, spiral, volute, whorl, helix"

++ http://vital.ai/vital/metamind-app/698 "obelisk"

++ http://vital.ai/vital/metamind-app/699 "totem pole"

++ http://vital.ai/vital/metamind-app/700 "castle"

++ http://vital.ai/vital/metamind-app/701 "prison, prison house"

++ http://vital.ai/vital/metamind-app/702 "grocery store, grocery, food market, market"

++ http://vital.ai/vital/metamind-app/703 "bakery, bakeshop, bakehouse"

++ http://vital.ai/vital/metamind-app/704 "barbershop"

++ http://vital.ai/vital/metamind-app/705 "bookshop, bookstore, bookstall"

++ http://vital.ai/vital/metamind-app/706 "butcher shop, meat market"

++ http://vital.ai/vital/metamind-app/707 "confectionery, confectionary, candy store"

++ http://vital.ai/vital/metamind-app/708 "shoe shop, shoe-shop, shoe store"

++ http://vital.ai/vital/metamind-app/709 "tobacco shop, tobacconist shop, tobacconist"

++ http://vital.ai/vital/metamind-app/710 "toyshop"

++ http://vital.ai/vital/metamind-app/711 "fountain"

++ http://vital.ai/vital/metamind-app/712 "cliff dwelling"

++ http://vital.ai/vital/metamind-app/713 "yurt"

++ http://vital.ai/vital/metamind-app/714 "dock, dockage, docking facility"

++ http://vital.ai/vital/metamind-app/715 "brass, memorial tablet, plaque"

++ http://vital.ai/vital/metamind-app/716 "megalith, megalithic structure"

++ http://vital.ai/vital/metamind-app/717 "bannister, banister, balustrade, balusters, handrail"

++ http://vital.ai/vital/metamind-app/718 "breakwater, groin, groyne, mole, bulwark, seawall, jetty"

++ http://vital.ai/vital/metamind-app/719 "dam, dike, dyke"

++ http://vital.ai/vital/metamind-app/720 "chainlink fence"

++ http://vital.ai/vital/metamind-app/721 "picket fence, paling"

++ http://vital.ai/vital/metamind-app/722 "worm fence, snake fence, snake-rail fence, Virginia fence"

++ http://vital.ai/vital/metamind-app/723 "stone wall"

++ http://vital.ai/vital/metamind-app/724 "grille, radiator grille"

++ http://vital.ai/vital/metamind-app/725 "sliding door"

++ http://vital.ai/vital/metamind-app/726 "turnstile"

++ http://vital.ai/vital/metamind-app/727 "mountain tent"

++ http://vital.ai/vital/metamind-app/728 "scoreboard"

++ http://vital.ai/vital/metamind-app/729 "honeycomb"

++ http://vital.ai/vital/metamind-app/730 "plate rack"

++ http://vital.ai/vital/metamind-app/731 "pedestal, plinth, footstall"

++ http://vital.ai/vital/metamind-app/732 "beacon, lighthouse, beacon light, pharos"

++ http://vital.ai/vital/metamind-app/733 "mashed potato"

++ http://vital.ai/vital/metamind-app/734 "bell pepper"

++ http://vital.ai/vital/metamind-app/735 "head cabbage"

++ http://vital.ai/vital/metamind-app/736 "broccoli"

++ http://vital.ai/vital/metamind-app/737 "cauliflower"

++ http://vital.ai/vital/metamind-app/738 "zucchini, courgette"

++ http://vital.ai/vital/metamind-app/739 "spaghetti squash"

++ http://vital.ai/vital/metamind-app/740 "acorn squash"

++ http://vital.ai/vital/metamind-app/741 "butternut squash"

++ http://vital.ai/vital/metamind-app/742 "cucumber, cuke"

++ http://vital.ai/vital/metamind-app/743 "artichoke, globe artichoke"

++ http://vital.ai/vital/metamind-app/744 "cardoon"

++ http://vital.ai/vital/metamind-app/745 "mushroom"

++ http://vital.ai/vital/metamind-app/746 "shower curtain"

++ http://vital.ai/vital/metamind-app/747 "jean, blue jean, denim"

++ http://vital.ai/vital/metamind-app/748 "carton"

++ http://vital.ai/vital/metamind-app/749 "handkerchief, hankie, hanky, hankey"

++ http://vital.ai/vital/metamind-app/750 "sandal"

++ http://vital.ai/vital/metamind-app/751 "ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"

++ http://vital.ai/vital/metamind-app/752 "safe"

++ http://vital.ai/vital/metamind-app/753 "plate"

++ http://vital.ai/vital/metamind-app/754 "necklace"

++ http://vital.ai/vital/metamind-app/755 "croquet ball"

++ http://vital.ai/vital/metamind-app/756 "fur coat"

++ http://vital.ai/vital/metamind-app/757 "thimble"

++ http://vital.ai/vital/metamind-app/758 "pajama, pyjama, pj's, jammies"

++ http://vital.ai/vital/metamind-app/759 "running shoe"

++ http://vital.ai/vital/metamind-app/760 "cocktail shaker"

++ http://vital.ai/vital/metamind-app/761 "chest"

++ http://vital.ai/vital/metamind-app/762 "manhole cover"

++ http://vital.ai/vital/metamind-app/763 "modem"

++ http://vital.ai/vital/metamind-app/764 "tub, vat"

++ http://vital.ai/vital/metamind-app/765 "tray"

++ http://vital.ai/vital/metamind-app/766 "balance beam, beam"

++ http://vital.ai/vital/metamind-app/767 "bagel, beigel"

++ http://vital.ai/vital/metamind-app/768 "prayer rug, prayer mat"

++ http://vital.ai/vital/metamind-app/769 "kimono"

++ http://vital.ai/vital/metamind-app/770 "hot pot, hotpot"

++ http://vital.ai/vital/metamind-app/771 "whiskey jug"

++ http://vital.ai/vital/metamind-app/772 "knee pad"

++ http://vital.ai/vital/metamind-app/773 "book jacket, dust cover, dust jacket, dust wrapper"

++ http://vital.ai/vital/metamind-app/774 "spindle"

++ http://vital.ai/vital/metamind-app/775 "ski mask"

++ http://vital.ai/vital/metamind-app/776 "beer bottle"

++ http://vital.ai/vital/metamind-app/777 "crash helmet"

++ http://vital.ai/vital/metamind-app/778 "bottlecap"

++ http://vital.ai/vital/metamind-app/779 "tile roof"

++ http://vital.ai/vital/metamind-app/780 "mask"

++ http://vital.ai/vital/metamind-app/781 "maillot"

++ http://vital.ai/vital/metamind-app/782 "Petri dish"

++ http://vital.ai/vital/metamind-app/783 "football helmet"

++ http://vital.ai/vital/metamind-app/784 "bathing cap, swimming cap"

++ http://vital.ai/vital/metamind-app/785 "teddy, teddy bear"

++ http://vital.ai/vital/metamind-app/786 "holster"

++ http://vital.ai/vital/metamind-app/787 "pop bottle, soda bottle"

++ http://vital.ai/vital/metamind-app/788 "photocopier"

++ http://vital.ai/vital/metamind-app/789 "vestment"

++ http://vital.ai/vital/metamind-app/790 "crossword puzzle, crossword"

++ http://vital.ai/vital/metamind-app/791 "golf ball"

++ http://vital.ai/vital/metamind-app/792 "trifle"

++ http://vital.ai/vital/metamind-app/793 "suit, suit of clothes"

++ http://vital.ai/vital/metamind-app/794 "water tower"

++ http://vital.ai/vital/metamind-app/795 "feather boa, boa"

++ http://vital.ai/vital/metamind-app/796 "cloak"

++ http://vital.ai/vital/metamind-app/797 "red wine"

++ http://vital.ai/vital/metamind-app/798 "drumstick"

++ http://vital.ai/vital/metamind-app/799 "shield, buckler"

++ http://vital.ai/vital/metamind-app/800 "Christmas stocking"

